Passenger_ID,Airline,Origin,Destination,Flight_Date,Age,Class,Travel_Type,Booking_Channel,Payment_Method,Flight_Duration_Min,Distance_KM,Flight_Status,Delay_Minutes,Baggage_Count,Meal_Ordered,Rating,Ticket_Fare,Satisfaction
PNR00001,Air India Express,Hyderabad,Mumbai,2025-09-06,38.0,Economy,Business,Website,Net Banking,181,766,Delayed,159.0,0,No,4.0,33002.96,Satisfied
PNR00002,Indigo,Delhi,Bangalore,2025-04-04,50.0,Economy,Business,Mobile App,UPI,117,321,On Time,0.0,3,No,3.0,14930.01,Neutral
PNR00003,Air India Express,Delhi,Kolkata,2025-04-29,20.0,Economy,Business,Airport Counter,Net Banking,110,946,On Time,0.0,1,Yes,5.0,10004.05,Satisfied
PNR00004,Air India Express,Mumbai,Hyderabad,2025-05-23,61.0,Business,Business,Travel Agent,Debit Card,67,334,On Time,0.0,1,No,5.0,61220.7,Satisfied
PNR00005,Indigo,Delhi,Mumbai,2024-09-26,27.0,Economy,Personal,Mobile App,Debit Card,154,1115,On Time,0.0,3,No,5.0,21569.41,Satisfied
PNR00006,Air India,Delhi,Kolkata,2024-01-15,46.0,Economy,Business,Mobile App,Net Banking,104,364,On Time,0.0,2,Yes,3.0,28180.71,Neutral
PNR00007,Vistara,Delhi,Bangalore,2024-08-18,59.0,Business,Personal,Website,Net Banking,100,1351,On Time,0.0,1,Yes,3.0,39090.92,Neutral
PNR00008,Akasa Air,Mumbai,Bangalore,2025-09-04,18.0,Premium Economy,Personal,Website,Debit Card,234,1785,On Time,0.0,0,No,2.0,3991.35,Dissatisfied
PNR00009,Spicejet,Mumbai,Bangalore,2024-08-28,49.0,Economy,Personal,Website,Credit Card,111,1320,On Time,0.0,0,Yes,3.0,25080.51,Neutral
PNR00010,Air India Express,Delhi,Mumbai,2025-07-10,59.0,Business,Personal,Website,Debit Card,121,1312,Delayed,137.0,1,Yes,1.0,23103.2,Dissatisfied
PNR00011,Air India,Mumbai,Delhi,2025-09-24,44.0,Business,Business,Mobile App,Credit Card,175,1272,On Time,0.0,0,Yes,4.0,18781.34,Satisfied
PNR00012,Vistara,Bangalore,Delhi,2025-08-30,49.0,Economy,Business,Website,UPI,239,1436,On Time,0.0,0,Yes,1.0,11170.38,Dissatisfied
PNR00013,Indigo,Delhi,Mumbai,2025-07-19,41.0,Economy,Personal,Mobile App,Debit Card,146,1548,Cancelled,,3,No,3.0,14513.77,Neutral
PNR00014,Air India,Bangalore,Delhi,2025-09-01,41.0,Premium Economy,Business,Mobile App,Net Banking,198,1051,On Time,0.0,3,Yes,4.0,3646.93,Satisfied
PNR00015,Vistara,Mumbai,Bangalore,2025-12-11,37.0,Premium Economy,Business,Airport Counter,Credit Card,111,788,On Time,0.0,0,Yes,2.0,13059.72,Dissatisfied
PNR00016,Air India Express,Kolkata,Delhi,2025-07-25,65.0,Business,Personal,Mobile App,Net Banking,172,301,On Time,0.0,0,Yes,3.0,46968.41,Neutral
PNR00017,Vistara,Bangalore,Mumbai,2024-02-23,41.0,Economy,Business,Airport Counter,Net Banking,179,927,On Time,0.0,3,Yes,3.0,34144.07,Neutral
PNR00018,Indigo,Delhi,Mumbai,2024-06-11,19.0,Economy,Business,Website,Net Banking,228,460,On Time,0.0,2,No,1.0,20132.56,Dissatisfied
PNR00019,Vistara,Mumbai,Bangalore,2025-01-09,39.0,Economy,Personal,Mobile App,Net Banking,81,1049,On Time,0.0,1,Yes,1.0,21249.38,Dissatisfied
PNR00020,Air India,Delhi,Bangalore,2025-10-20,65.0,Premium Economy,Business,Airport Counter,Debit Card,63,846,Cancelled,,0,No,4.0,3602.81,Satisfied
PNR00021,Spicejet,Mumbai,Delhi,2024-06-29,63.0,Business,Business,Website,Net Banking,154,1422,Delayed,76.0,3,Yes,2.0,59265.05,Dissatisfied
PNR00022,Indigo,Mumbai,Bangalore,2025-11-16,57.0,Economy,Personal,Website,UPI,83,925,On Time,0.0,1,No,1.0,6940.19,Dissatisfied
PNR00023,Akasa Air,Mumbai,Hyderabad,2025-11-12,46.0,Economy,Business,Website,Net Banking,85,1220,Delayed,74.0,3,No,4.0,31315.06,Satisfied
PNR00024,Air India Express,Delhi,Mumbai,2025-12-27,19.0,Economy,Business,Website,Debit Card,145,350,Delayed,58.0,3,Yes,3.0,6629.47,Neutral
PNR00025,Air India,Hyderabad,Mumbai,2025-09-11,61.0,Economy,Business,Mobile App,UPI,64,1426,On Time,0.0,3,No,5.0,34009.95,Satisfied
PNR00026,Indigo,Mumbai,Bangalore,2024-04-29,34.0,Economy,Business,Airport Counter,UPI,122,1381,On Time,0.0,3,Yes,2.0,32244.45,Dissatisfied
PNR00027,Indigo,Bangalore,Delhi,2025-08-23,65.0,Business,Personal,Mobile App,Debit Card,176,1196,Delayed,85.0,1,Yes,5.0,11529.63,Satisfied
PNR00028,Spicejet,Delhi,Bangalore,2024-04-03,64.0,Premium Economy,Personal,Website,Debit Card,203,517,On Time,0.0,2,Yes,5.0,37580.54,Satisfied
PNR00029,Air India Express,Kolkata,Delhi,2025-03-17,36.0,Economy,Personal,Mobile App,Net Banking,155,1068,On Time,0.0,0,No,3.0,28530.85,Neutral
